DotSize,IntersectionID,Lat,Lon,OBJECTID,Saturday,Saturday_1_79,StopDescription,StopID,Sunday,Sunday_1_79,Weekday,Weekday_1_79,WkdBdPerSvc,WkdSvc,coordinates
3335145.83,194,43.072027,-89.400138,10904,130.22,0,EB Johnson fs Park,455,97.4,0,667.03,0,0,0,"[-89.400131967395, 43.07201905809875]"
35686.42,335,43.044399,-89.404104,10905,3.68,0,SB Fish Hatchery fs Carver,456,1.33,0,7.14,0,0,0,"[-89.40409796863186, 43.04439106243851]"
6686.97,682,43.059844,-89.403674,10906,1.34,0,EB Erin fs Mills,459,0.33,0,1.34,0,0,0,"[-89.40366796688708, 43.05983606047982]"
562.82,663,43.053143,-89.384484,10907,0.0,0,EB Olin ns Colby,465,0.0,0,0.11,0,0,0,"[-89.38447797312074, 43.053135060474084]"
80013.09,57,43.067564,-89.39415,10908,5.0,0,EB Washington at Southwest,469,5.0,0,16.0,0,0,0,"[-89.39414396911265, 43.06755605800205]"
43993.99,738,43.071687,-89.392872,10909,0.0,0,SB Bassett ns Dayton,470,0.0,0,8.8,0,0,0,"[-89.39286596970433, 43.07167905736356]"
32448.84,727,43.07025,-89.390357,10910,2.67,0,EB Washington fs Bassett,473,6.0,0,6.49,0,0,0,"[-89.39035096971995, 43.070242057703936]"
338275.79,329,43.041511,-89.393876,10911,20.35,0,NB Park ns Buick,475,14.04,0,67.66,0,0,0,"[-89.39386997249252, 43.04150306303986]"
519624.45,749,43.075371,-89.391056,10912,5.01,0,WB Gorham fs Henry,480,3.33,0,103.92,0,0,0,"[-89.39104996935386, 43.07536305653892]"
112004.18,405,43.069149,-89.400771,10913,18.01,0,NB Park ns Spring,483,10.39,0,22.4,0,0,0,"[-89.40076496715432, 43.06914105832214]"
2804867.45,190,43.075145,-89.407499,10914,24.67,0,WB Linden fs Charter,488,21.93,0,560.97,0,0,0,"[-89.40749296452934, 43.07513705814544]"
619514.61,192,43.072305,-89.405822,10915,0.0,0,Charter ns Johnson,490,0.0,0,123.9,0,0,0,"[-89.40581596590921, 43.072297058531916]"
0.0,672,43.055744,-89.381871,10916,0.0,0,John Nolen fs Lakeside,492,0.0,0,0.0,0,0,0,"[-89.38186497364816, 43.05573605915415]"
7316.69,332,43.044108,-89.385597,10917,0.67,0,Koster ns Ardmore,496,0.67,0,1.46,0,0,0,"[-89.3855909743487, 43.0441000615205]"
154415.34,638,43.038853,-89.403803,10918,6.7,0,NB Fish Hatchery fs Badger,499,9.67,0,30.88,0,0,0,"[-89.4037969699653, 43.038845063660396]"
