Corridor,LPA,MetroID,Notes,OBJECTID,Type,coordinates,stop_id,stop_lat,stop_lon,stop_name
W,,6350.0,Construct new in lane stop south of existing pull out,334,alt,"[-89.5039918994933, 43.05736580600117]",56012.0,43.05736581,-89.5039919,SB W TOWNE RNG at SHELTER 
W,,6223.0,,335,alt,"[-89.49604492492648, 43.056321536874314]",56011.0,43.05632154,-89.49604492,EB ODANA fs GRND CANYON 
W,,6169.0,Consider relo to far side,336,alt,"[-89.485585944367, 43.05324706538972]",56010.0,43.05324707,-89.48558594,EB ODANA fs RESEARCH PK 
W,1.0,6100.0,Configuration of WTP to be determined,337,alt,"[-89.47454700112489, 43.053899648966194]",56009.0,43.05389965,-89.474547,EB WTP
W,1.0,2401.0,Only Odana would stop here,338,alt,"[-89.47201691280029, 43.06127314884925]",56008.0,43.06127315,-89.47201691,NB WHITNEY fs MINERAL PT 
W,1.0,2282.0,Bulb,339,main,"[-89.46362724949209, 43.07290622592411]",52006.0,43.07290623,-89.46362725,EB SHEBOYGAN fs EAU CLAIRE 
W,1.0,2395.0,,340,main,"[-89.45729943187217, 43.072904480649186]",52005.0,43.07290448,-89.45729943,EB SHEBOYGAN ns SEGOE 
W,1.0,2191.0,,341,main,"[-89.45032372336281, 43.07514078742529]",52004.0,43.07514079,-89.45032372,EB UNIV AVE fs MIDVALE 
W,1.0,2595.0,Relo to the west,342,main,"[-89.44423739185065, 43.0750950527331]",52003.0,43.07509505,-89.44423739,EB UNIV AVE ns HILL 
W,1.0,2465.0,Moved to far side with U Ave project,343,main,"[-89.43321641042746, 43.0731899953626]",52002.0,43.07319,-89.43321641,EB UNIV AVE fs FARLEY 
W,,,"Construct new stops, platforms, and ped access, may be infeasible.",344,main,"[-89.4204445288983, 43.073722022026146]",52001.0,43.07372202,-89.42044453,EB CAMPUS at CHAMBERLAIN
W,,6987.0,,345,ext,"[-89.52687522585506, 43.06014177048576]",52015.0,43.06014177,-89.52687523,EB MINERAL PT fs JUNCTION
W,,,,346,ext,"[-89.52594049810992, 43.060528429251704]",51015.0,43.06052843,-89.5259405,WB MINERAL PT ns JUNCTION
W,,,,347,ext,"[-89.53749978554053, 43.059735033612526]",51016.0,43.05973503,-89.53749979,SB PLEASANT VW fs MINERAL PT
W,,,,348,ext,"[-89.53714410874595, 43.05971395808028]",52016.0,43.05971396,-89.53714411,NB PLEASANT VW ns MINERAL PT
W,,,,349,ext,"[-89.53664056759098, 43.05113081154427]",51017.0,43.05113081,-89.53664057,EB WATTS ns PLEASANT VW
C,,1111.0,Ex detour stop moved far side,350,alt,"[-89.38181131991816, 43.073368225079335]",,43.07336823,-89.38181132,EB DOTY fs MLK
C,,1486.0,,351,alt,"[-89.38121012909141, 43.072710709352485]",,43.07271071,-89.38121013,WB WILSON ns MLK
C,,1870.0,,352,alt,"[-89.38031323992655, 43.076015943710125]",,43.07601594,-89.38031324,SB HENRY ns MAIN
N,,9169.0,,353,main,"[-89.34630514454865, 43.13741505423789]",,43.13741506,-89.34630514,DANE COUNTY AIRPORT
N,,,,354,alt,"[-89.3616688449174, 43.09433681337938]",,43.09433681,-89.36166884,EB JOHNSON fs FIRST
N,,,,355,alt,"[-89.36266345871196, 43.09410870984779]",,43.09410871,-89.36266346,WB JOHNSON fs FIRST
N,,,,356,alt,"[-89.35434942352805, 43.1072119426556]",,43.10721194,-89.35434942,NB PACKERS fs COMMERCIAL
N,,,,357,alt,"[-89.35521488262117, 43.10641226481447]",,43.10641227,-89.35521488,SB PACKERS fs COMMERCIAL
N,,,,358,alt,"[-89.35650707367752, 43.113824275554684]",,43.11382428,-89.35650707,RELOCATED NORTH TRANSFER POINT
N,,,,359,alt,"[-89.35480742360424, 43.12230145510641]",,43.12230146,-89.35480742,NB PACKERS fs INTERNATIONAL
N,,,,360,alt,"[-89.35519868619235, 43.12126811113613]",,43.12126811,-89.35519869,SB PACKERS fs INTERNATIONAL
N,,,,361,main,"[-89.35449461761092, 43.12883611784895]",,43.12883612,-89.35449462,EB DARWIN fs PACKERS
N,,,,362,main,"[-89.35471554492696, 43.1289934271156]",,43.12899343,-89.35471554,WB DARWIN ns PACKERS
N,,1379.0,,363,alt,"[-89.36387984211916, 43.10112755420089]",,43.10112756,-89.36387984,NB FORDEM fs MCGUIRE
N,,1692.0,,364,alt,"[-89.36418748939094, 43.100574007823674]",,43.10057401,-89.36418749,SB FORDEM fs MCGUIRE
N,,,,365,alt,"[-89.36362719960508, 43.11920999952077]",,43.11921,-89.3636272,NB SHERMAN fs SCHLIMGEN
N,,,,366,alt,"[-89.363817600732, 43.118636629831016]",,43.11863663,-89.3638176,SB SHERMAN fs MAC PHERSON
C,,,,367,alt,"[-89.38589114383043, 43.0764644431811]",,43.07646444,-89.38589114,WB DAYTON ns WISCONSIN
C,,,,368,alt,"[-89.38157846403914, 43.07674840546965]",,43.07674841,-89.38157846,WB EAST WASH fs BUTLER
W,1.0,,,369,alt,"[-89.47864176158403, 43.06049889582122]",,43.0604989,-89.47864176,SB ROSA fs MINERAL PT
